symbol,computed_at,overall_score,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,health_label
EICHERMOT,2026-05-26 03:35:11.145405+00:00,46.55,48.254835088931095,3.1746031746031744,99.85682327269734,67.33603940325736,37.77777777777778,0.0,WEAK
EICHERMOT,2026-05-26 03:35:06,46.55,48.254835088931095,3.1746031746031744,99.85682327269734,67.33603940325736,37.77777777777778,0.0,WEAK
GAIL,2026-05-26 03:35:11.145405+00:00,46.66,48.23864617509929,3.1746031746031744,98.42442791175719,69.62423624328603,38.333333333333336,0.0,WEAK
GAIL,2026-05-26 03:35:06,46.66,48.23864617509929,3.1746031746031744,98.4244279117572,69.62423624328603,38.333333333333336,0.0,WEAK
GODREJCP,2026-05-26 03:35:11.145405+00:00,44.96,48.249438784320496,3.1746031746031744,97.88434064461742,65.84614028878723,28.055555555555557,0.0,WEAK
GODREJCP,2026-05-26 03:35:06,44.96,48.249438784320496,3.1746031746031744,97.88434064461742,65.84614028878723,28.05555555555556,0.0,WEAK
GRASIM,2026-05-26 03:35:11.145405+00:00,40.21,48.249438784320496,3.1746031746031744,88.55124006370056,44.4398229001261,31.38888888888889,0.0,WEAK
GRASIM,2026-05-26 03:35:06,40.21,48.249438784320496,3.1746031746031744,88.55124006370056,44.4398229001261,31.38888888888889,0.0,WEAK
HAL,2026-05-26 03:35:11.145405+00:00,45.75,48.26131065446383,3.1746031746031744,95.97082870178455,67.94538670234562,36.666666666666664,0.0,WEAK
HAL,2026-05-26 03:35:06,45.75,48.26131065446383,3.1746031746031744,95.97082870178454,67.94538670234562,36.66666666666666,0.0,WEAK
HAVELLS,2026-05-26 03:35:11.145405+00:00,46.71,48.23756691417717,3.1746031746031744,99.71348848959646,66.97049511753605,40.27777777777778,0.0,WEAK
HAVELLS,2026-05-26 03:35:06,46.71,48.23756691417717,3.1746031746031744,99.71348848959646,66.97049511753605,40.27777777777778,0.0,WEAK
HCLTECH,2026-05-26 03:35:11.145405+00:00,49.47,48.25051804524262,3.1746031746031744,99.4344690926165,77.19377120972003,53.05555555555556,0.0,WEAK
HCLTECH,2026-05-26 03:35:06,49.47,48.25051804524262,3.1746031746031744,99.4344690926165,77.19377120972003,53.05555555555556,0.0,WEAK
HDFCBANK,2026-05-26 03:35:11.145405+00:00,49.85,0.0,92.06349206349206,54.203306950247644,90.2674326233732,34.44444444444444,36.17021276595745,WEAK
HDFCBANK,2026-05-26 03:35:06,49.85,0.0,92.06349206349206,54.20330695024763,90.2674326233732,34.44444444444444,36.17021276595745,WEAK
HDFCLIFE,2026-05-26 03:35:11.145405+00:00,46.04,48.799861854601964,3.1746031746031744,99.59050174490305,64.84556515311452,35.55555555555556,0.0,WEAK
HDFCLIFE,2026-05-26 03:35:06,46.04,48.79986185460197,3.1746031746031744,99.59050174490304,64.84556515311452,35.55555555555556,0.0,WEAK
HEROMOTOCO,2026-05-26 03:35:11.145405+00:00,49.27,53.87670523225695,3.1746031746031744,99.79196483286688,68.79017772593095,48.888888888888886,0.0,WEAK
HEROMOTOCO,2026-05-26 03:35:06,49.27,53.87670523225695,3.1746031746031744,99.79196483286688,68.79017772593095,48.888888888888886,0.0,WEAK
HINDALCO,2026-05-26 03:35:11.145405+00:00,52.43,73.9908910378173,3.1746031746031744,96.44008003419181,73.20461522770346,30.277777777777775,0.0,AVERAGE
HINDALCO,2026-05-26 03:35:06,52.43,73.9908910378173,3.1746031746031744,96.4400800341918,73.20461522770346,30.27777777777777,0.0,AVERAGE
HINDUNILVR,2026-05-26 03:35:11.145405+00:00,53.09,64.04766016232084,3.1746031746031744,99.78129788658025,73.43877675097073,54.72222222222223,0.0,AVERAGE
HINDUNILVR,2026-05-26 03:35:06,53.09,64.04766016232084,3.1746031746031744,99.78129788658023,73.43877675097073,54.72222222222223,0.0,AVERAGE
ICICIBANK,2026-05-26 03:35:11.145405+00:00,34.71,32.953073735106194,3.1746031746031744,56.64597913699097,75.02381340808297,32.5,0.0,POOR
ICICIBANK,2026-05-26 03:35:06,34.71,32.953073735106194,3.1746031746031744,56.64597913699097,75.02381340808297,32.5,0.0,POOR
ICICIGI,2026-05-26 03:35:11.145405+00:00,47.03,51.00802970126058,3.1746031746031744,100.0,67.06987206053469,35.833333333333336,0.0,WEAK
ICICIGI,2026-05-26 03:35:06,47.03,51.00802970126058,3.1746031746031744,100.0,67.06987206053469,35.833333333333336,0.0,WEAK
ICICIPRULI,2026-05-26 03:35:11.145405+00:00,45.3,46.25280607839751,3.1746031746031744,100.0,66.8121619079463,30.833333333333336,0.0,WEAK
ICICIPRULI,2026-05-26 03:35:06,45.3,46.25280607839751,3.1746031746031744,100.0,66.8121619079463,30.833333333333336,0.0,WEAK
INDIGO,2026-05-26 03:35:11.145405+00:00,50.82,65.85218442410637,3.1746031746031744,99.85884330319695,72.96409778265983,28.055555555555557,0.0,AVERAGE
INDIGO,2026-05-26 03:35:06,50.82,65.85218442410637,3.1746031746031744,99.85884330319696,72.96409778265983,28.05555555555556,0.0,AVERAGE
INDUSINDBK,2026-05-26 03:35:11.145405+00:00,35.71,51.44081333103091,3.1746031746031744,53.68569002565026,55.22968913815266,31.944444444444443,0.0,WEAK
INDUSINDBK,2026-05-26 03:35:06,35.71,51.44081333103091,3.1746031746031744,53.685690025650246,55.22968913815266,31.944444444444443,0.0,WEAK
INFY,2026-05-26 03:35:11.145405+00:00,57.68,48.25267656708686,20.634920634920633,99.34540386047476,80.01353686325609,28.055555555555557,68.08510638297872,AVERAGE
INFY,2026-05-26 03:35:06,57.68,48.25267656708686,20.634920634920636,99.34540386047476,80.01353686325609,28.05555555555556,68.08510638297872,AVERAGE
IOC,2026-05-26 03:35:11.145405+00:00,49.33,48.23756691417717,3.1746031746031744,93.94013112164217,92.88334082713958,39.166666666666664,0.0,WEAK
IOC,2026-05-26 03:35:06,49.33,48.23756691417717,3.1746031746031744,93.94013112164215,92.88334082713958,39.16666666666666,0.0,WEAK
IRCTC,2026-05-26 03:35:11.145405+00:00,46.87,48.263469176308064,3.1746031746031744,99.91981354035993,67.18891229231419,41.11111111111111,0.0,WEAK
IRCTC,2026-05-26 03:35:06,46.87,48.263469176308064,3.1746031746031744,99.91981354035993,67.18891229231419,41.11111111111111,0.0,WEAK
IRFC,2026-05-26 03:35:11.145405+00:00,36.64,48.33470039716802,3.1746031746031744,47.3162034427797,71.96229582494603,36.666666666666664,0.0,WEAK
IRFC,2026-05-26 03:35:06,36.64,48.33470039716802,3.1746031746031744,47.316203442779695,71.96229582494603,36.66666666666666,0.0,WEAK
ITC,2026-05-26 03:35:11.145405+00:00,49.7,48.266706959074426,3.1746031746031744,99.9728331590996,79.10683207286073,51.388888888888886,0.0,WEAK
ITC,2026-05-26 03:35:06,49.7,48.266706959074426,3.1746031746031744,99.9728331590996,79.10683207286073,51.388888888888886,0.0,WEAK
JINDALSTEL,2026-05-26 03:35:11.145405+00:00,44.88,48.24835952339838,3.1746031746031744,97.54688052086705,65.20900308417805,28.888888888888886,0.0,WEAK
JINDALSTEL,2026-05-26 03:35:06,44.88,48.24835952339838,3.1746031746031744,97.54688052086703,65.20900308417805,28.88888888888889,0.0,WEAK
JIOFIN,2026-05-26 03:35:11.145405+00:00,45.61,48.31743222241409,3.1746031746031744,100.0,67.25140868503532,28.055555555555557,0.0,WEAK
JIOFIN,2026-05-26 03:35:06,45.61,48.31743222241409,3.1746031746031744,100.0,67.25140868503532,28.05555555555556,0.0,WEAK
