symbol,computed_at,overall_score,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,health_label
HAVELLS,,46.71,48.23756691417717,3.1746031746031744,99.71348848959646,66.97049511753605,40.27777777777778,0.0,WEAK
HCLTECH,,49.47,48.25051804524262,3.1746031746031744,99.4344690926165,77.19377120972003,53.05555555555556,0.0,WEAK
HDFCBANK,,49.85,0.0,92.06349206349206,54.20330695024763,90.2674326233732,34.44444444444444,36.17021276595745,WEAK
HDFCLIFE,,46.04,48.79986185460197,3.1746031746031744,99.59050174490304,64.84556515311452,35.55555555555556,0.0,WEAK
HEROMOTOCO,,49.27,53.87670523225695,3.1746031746031744,99.79196483286688,68.79017772593095,48.888888888888886,0.0,WEAK
HINDALCO,,52.43,73.9908910378173,3.1746031746031744,96.4400800341918,73.20461522770346,30.27777777777777,0.0,AVERAGE
HINDUNILVR,,53.09,64.04766016232084,3.1746031746031744,99.78129788658023,73.43877675097073,54.72222222222223,0.0,AVERAGE
ICICIBANK,,34.71,32.953073735106194,3.1746031746031744,56.64597913699097,75.02381340808297,32.5,0.0,POOR
ICICIGI,,47.03,51.00802970126058,3.1746031746031744,100.0,67.06987206053469,35.833333333333336,0.0,WEAK
ICICIPRULI,,45.3,46.25280607839751,3.1746031746031744,100.0,66.8121619079463,30.833333333333336,0.0,WEAK
INDIGO,,50.82,65.85218442410637,3.1746031746031744,99.85884330319696,72.96409778265983,28.05555555555556,0.0,AVERAGE
INDUSINDBK,,35.71,51.44081333103091,3.1746031746031744,53.685690025650246,55.22968913815266,31.944444444444443,0.0,WEAK
INFY,,57.68,48.25267656708686,20.63492063492064,99.34540386047476,80.01353686325609,28.05555555555556,68.08510638297872,AVERAGE
IOC,,49.33,48.23756691417717,3.1746031746031744,93.94013112164215,92.88334082713958,39.16666666666666,0.0,WEAK
IRCTC,,46.87,48.263469176308064,3.1746031746031744,99.91981354035993,67.18891229231419,41.11111111111111,0.0,WEAK
IRFC,,36.64,48.33470039716802,3.1746031746031744,47.316203442779695,71.96229582494603,36.66666666666666,0.0,WEAK
ITC,,49.7,48.266706959074426,3.1746031746031744,99.9728331590996,79.10683207286073,51.388888888888886,0.0,WEAK
JINDALSTEL,,44.88,48.24835952339838,3.1746031746031744,97.54688052086703,65.20900308417805,28.88888888888889,0.0,WEAK
JIOFIN,,45.61,48.31743222241409,3.1746031746031744,100.0,67.25140868503532,28.05555555555556,0.0,WEAK
JSWENERGY,,44.37,48.27749956829563,3.1746031746031744,92.58085604583113,65.45665994274198,33.33333333333333,0.0,WEAK
JSWSTEEL,,44.36,48.24404247970989,3.1746031746031744,91.95746723399228,65.1742780571856,35.0,0.0,WEAK
KOTAKBANK,,37.24,33.78410464513901,3.1746031746031744,73.07038284402964,71.21038163521727,28.61111111111111,0.0,WEAK
LICI,,46.01,48.23109134864445,3.1746031746031744,99.99931110986586,67.31145039914259,32.22222222222222,0.0,WEAK
LODHA,,44.88,48.254835088931095,3.1746031746031744,97.044562711433,66.46284206763231,28.05555555555556,0.0,WEAK
LT,,48.39,48.24188395786565,3.1746031746031744,99.257653750045,80.22994770428362,38.05555555555556,0.0,WEAK
LTIM,,46.71,48.24620100155413,3.1746031746031744,99.257653750045,67.90460775231283,39.72222222222222,0.0,WEAK
M&M,,42.76,48.24620100155413,3.1746031746031744,88.85270817392528,59.33381280036388,33.88888888888889,0.0,WEAK
MARUTI,,46.8,48.240804696943535,3.1746031746031744,99.98807613464956,70.00400981656055,36.11111111111111,0.0,WEAK
MOTHERSON,,45.11,48.23648765325505,3.1746031746031744,94.761362208434,67.36015577074664,33.611111111111114,0.0,WEAK
NAUKRI,,46.86,48.25699361077534,3.1746031746031744,99.95879472934138,66.65047121841768,41.66666666666667,0.0,WEAK
NESTLEIND,,47.88,48.25267656708686,3.1746031746031744,99.37627490150714,68.68649097964715,50.0,0.0,WEAK
NHPC,,45.95,48.280737351062,3.1746031746031744,94.26883735641714,67.38931004769823,42.77777777777778,0.0,WEAK
NTPC,,45.44,48.25807287169746,3.1746031746031744,90.32649072397888,72.44934891704833,38.05555555555556,0.0,WEAK
ONGC,,49.8,48.245121740632015,3.1746031746031744,96.34384022150832,94.48234423479666,36.66666666666666,0.0,WEAK
PFC,,25.02,48.266706959074426,3.1746031746031744,44.352609976304805,0.0,34.44444444444444,0.0,POOR
PIDILITIND,,46.86,48.25051804524262,3.1746031746031744,99.70749303586798,67.37931207019699,41.11111111111111,0.0,WEAK
PNB,,38.58,50.0,3.1746031746031744,75.2192622293657,47.33178643575982,33.05555555555556,0.0,WEAK
POWERGRID,,47.99,48.32067000518045,3.1746031746031744,91.04499560339796,82.69081689605521,46.66666666666666,0.0,WEAK
RECLTD,,31.63,48.33577965809014,3.1746031746031744,55.74936290257677,27.47849493789855,36.388888888888886,0.0,POOR
RELIANCE,,49.68,48.24620100155413,3.1746031746031744,97.06541456512062,96.5575228713589,30.833333333333336,0.0,WEAK
SBILIFE,,67.61,48.22677430495597,100.0,100.0,65.37474262027649,31.944444444444443,25.53191489361702,AVERAGE
SBIN,,37.8,48.211664652046274,3.1746031746031744,50.0,78.72010747635274,33.05555555555556,0.0,WEAK
SHREECEM,,46.04,48.25051804524262,3.1746031746031744,99.458147989574,68.0217721838304,32.5,0.0,WEAK
SHRIRAMFIN,,37.72,48.25807287169746,3.1746031746031744,73.31994288505739,46.06901528589547,34.44444444444444,0.0,WEAK
SIEMENS,,46.05,48.24188395786565,3.1746031746031744,99.8778025309537,67.5191323660843,32.5,0.0,WEAK
SUNPHARMA,,47.54,48.25699361077534,3.1746031746031744,99.74969873541116,74.24764973588428,37.5,0.0,WEAK
TATACONSUM,,47.09,48.24296321878778,3.1746031746031744,98.96112928283094,66.76679148368558,45.83333333333333,0.0,WEAK
TATAMOTORS,,48.75,48.24188395786565,3.1746031746031744,92.90869963094464,96.50881329126024,30.0,0.0,WEAK
TATAPOWER,,44.01,48.245121740632015,3.1746031746031744,88.3543122456095,69.10378648667664,32.77777777777778,0.0,WEAK
TATASTEEL,,41.82,48.23756691417717,3.1746031746031744,92.58408841811494,70.73366849559294,0.0,0.0,WEAK
TCS,,70.25,48.25591434985322,44.44444444444444,99.4005177517344,100.0,44.16666666666666,100.0,GOOD
TECHM,,50.08,48.23648765325505,3.1746031746031744,99.48243033780436,70.08538407643832,69.72222222222221,0.0,AVERAGE
TITAN,,43.45,48.23756691417717,3.1746031746031744,85.04447697057147,67.74190995725512,35.833333333333336,0.0,WEAK
TORNTPHARM,,46.85,48.2602313935417,3.1746031746031744,97.19625629888864,68.79786360965826,43.888888888888886,0.0,WEAK
TRENT,,45.29,48.24404247970989,3.1746031746031744,97.35266949100192,67.30371936487329,30.27777777777777,0.0,WEAK
TVSMOTOR,,43.39,48.24188395786565,3.1746031746031744,87.32872440536391,65.26193947290447,34.44444444444444,0.0,WEAK
ULTRACEMCO,,46.16,48.24620100155413,3.1746031746031744,98.14060389395212,68.14020913909286,36.11111111111111,0.0,WEAK
UNIONBANK,,30.65,48.23217060956657,3.1746031746031744,13.746262175806558,78.97141090278346,33.611111111111114,0.0,POOR
UNITDSPR,,46.83,48.24620100155413,3.1746031746031744,99.54348422429491,67.6352978173518,40.833333333333336,0.0,WEAK
VBL,,35.87,48.25159730616474,3.1746031746031744,50.0,66.15790280974355,32.5,0.0,WEAK
VEDL,,52.02,48.25375582800898,3.1746031746031744,85.68080682283457,81.24308726017284,100.0,0.0,AVERAGE
WIPRO,,49.53,48.24728026247625,0.0,98.4062502416854,79.1231564533307,29.444444444444446,29.78723404255319,WEAK
ZOMATO,,45.47,48.22677430495597,3.1746031746031744,99.63431986384792,66.94629922787301,28.05555555555556,0.0,WEAK
ZYDUSLIFE,,45.9,48.25699361077534,3.1746031746031744,99.9414450330123,67.89377835164927,30.27777777777777,0.0,WEAK
